Opportunity Name,Actual Ship Date,Product Family,Quantity,Site Street,Site City,Site State,Site Zip/Postal Code,Site Country,Industry
Houston Police - BLT (2006),,PDTT,2,"""8904 Fairbanks N. Houston Rd. """,Houston,TX,77064,USA,Police
Yukon Energy,,Alpha,2,"#2 Miles Canyon Road, Box 5920",Whitehorse,YT,Y1A 6S7,Canada,Power Utility & Substation
AECL - Pinawa,,FSXT,1,1 Ara Mooradian Way,"Pinawa,",MB,R0E 1L0,Canada,Government Facilities
Reagan Airport (2009),,PDTT,1,1 Aviaton Dr,Arlinton,VA,22202,USA,Aviation
Nav Canada - Halifax,6/30/2017,Access CONrol Accessories,2,1 Bell Blvd,Enfield,NS,B2T 1K2,Canada,Aviation
Nav Canada - Halifax,6/30/2017,FSXT,1,1 Bell Blvd,Enfield,NS,B2T 1K2,Canada,Aviation
Nav Canada - Halifax,6/30/2017,Operator Parts,6,1 Bell Blvd,Enfield,NS,B2T 1K2,Canada,Aviation
Nav Canada - Halifax,6/30/2017,Access CONrol Accessories,1,1 Bell Blvd,Enfield,NS,B2T 1K2,Canada,Aviation
Nav Canada - Halifax,6/30/2017,Access CONrol Accessories,1,1 Bell Blvd,Enfield,NS,B2T 1K2,Canada,Aviation
Nav Canada - Halifax,6/30/2017,Heras Hardware,2,1 Bell Blvd,Enfield,NS,B2T 1K2,Canada,Aviation
Nav Canada - Halifax,6/30/2017,Access CONrol Accessories,1,1 Bell Blvd,Enfield,NS,B2T 1K2,Canada,Aviation
Nav Canada - Halifax,6/30/2017,Operators,1,1 Bell Blvd,Enfield,NS,B2T 1K2,Canada,Aviation
Nav Canada - Halifax,6/30/2017,Access CONrol Accessories,9,1 Bell Blvd,Enfield,NS,B2T 1K2,Canada,Aviation
Nav Canada - Halifax,6/30/2017,Pedestrian Gate,1,1 Bell Blvd,Enfield,NS,B2T 1K2,Canada,Aviation
Vaughan Data Center,3/6/2018,Access CONrol Accessories,8,1 Century Pl,Vaughan,ON,L4L 8R2,Canada,Data Center
Vaughan Data Center,3/6/2018,Pedestrian Gate,5,1 Century Pl,Vaughan,ON,L4L 8R2,Canada,Data Center
Vaughan Data Center,3/6/2018,Fold Hardware,1,1 Century Pl,Vaughan,ON,L4L 8R2,Canada,Data Center
Vaughan Data Center,3/6/2018,Alpha,1,1 Century Pl,Vaughan,ON,L4L 8R2,Canada,Data Center
Vaughan Data Center,3/6/2018,Alpha,1,1 Century Pl,Vaughan,ON,L4L 8R2,Canada,Data Center
Vaughan Data Center,3/6/2018,Alpha,3,1 Century Pl,Vaughan,ON,L4L 8R2,Canada,Data Center
Cavanagh Site - CFB Kingston,6/6/2017,FSXT,1,1 Givenchy St,Kingston,ON,K7K 5H9,Canada,Military/Navy
Cavanagh Site - CFB Kingston,6/6/2017,FSXT,3,1 Givenchy St,Kingston,ON,K7K 5H9,Canada,Military/Navy
Orlando Airport,7/19/2013,PDXT,2,1 Jeff Fuqua Boulevard,Orlando,FL,32827,USA,Aviation
Indiana State Prison (2015),,PDTT,1,1 Park Row,Michigan City,IN,46360,USA,Criminal Justice
Port of Wilmington,6/13/2018,Fold Hardware,1,1 Shipyard Blvd.,Wilmington,NC,,USA,Sea Port
Port of Wilmington,6/13/2018,FSXT,2,1 Shipyard Blvd.,Wilmington,NC,,USA,Sea Port
Port of Wilmington,6/13/2018,Gate Hardware,2,1 Shipyard Blvd.,Wilmington,NC,,USA,Sea Port
Port of Wilmington,6/13/2018,Fold Hardware,2,1 Shipyard Blvd.,Wilmington,NC,,USA,Sea Port
CBCS (2014),,FSXT,2,1 Silmon Bolivar Plein,Willemstad,Curacao,,Curacao,Government Facilities
CBCS (2014),,FSXT,2,1 Silmon Bolivar Plein,Willemstad,Curacao,,Curacao,Government Facilities
Real Storage - ON,,FSXT,1,1 Woodfield Road,ON,ON,M4L 2W1,Canada,Storage Facility
EdmONon Airport,8/25/2013,Alpha,1,"1, 1000 Airport Road",Nisku,AB,T9E 8T3,Canada,Aviation
EdmONon Airport,8/25/2013,Alpha,1,"1, 1000 Airport Road",Nisku,AB,T9E 8T3,Canada,Aviation
EdmONon Airport,8/25/2013,Operator,2,"1, 1000 Airport Road",Nisku,AB,T9E 8T3,Canada,Aviation
EdmONon Airport - FSXT,,FSXT,1,"1, 1000 Airport Road,",EdmONon,AB,T9E 0V3,Canada,Aviation
TTC - Queens Quay,6/26/2018,,2,10 Bay Street,ON,ON,,Canada,Public Transportation
TTC - Queens Quay,6/26/2018,,1,10 Bay Street,ON,ON,,Canada,Public Transportation
TTC - Queens Quay,6/26/2018,,200,10 Bay Street,ON,ON,,Canada,Public Transportation
TTC - Queens Quay,6/26/2018,,2,10 Bay Street,ON,ON,,Canada,Public Transportation
Big Freight - Winnipeg,,,1,"10 Hutchings St,",Winnipeg,MB,R2X 2X1,Canada,Trucking
Richard Sison - 121062,9/16/2019,Double Wire Welded Wire,5,10 MONpelier Point,Winnipeg,MB,R3Y 0H1,Canada,Landscape (Fencing)
Orangeville Storage,,Delta,1,10 Stewart Circle,Orangeville,ON,L9W 3Z9,Canada,Storage Facility
Orangeville Storage,,Heras Hardware,1,10 Stewart Circle,Orangeville,ON,L9W 3Z9,Canada,Storage Facility
Iron Mountain - Bramalea (2009),,PDXT,1,10 Tilbury Ct,Brampton,ON,L6T 5L1,Canada,Commercial/Industrial
New Tecumseth - Alliston,,Delta,1,10 Wellington St E.,Alliston,ON,L9R 1A1,Canada,Commercial/Industrial
New Tecumseth - Alliston,,Delta,1,10 Wellington St E.,Alliston,ON,L9R 1A1,Canada,Commercial/Industrial
New Tecumseth - Alliston,,Delta,1,10 Wellington St E.,Alliston,ON,L9R 1A1,Canada,Commercial/Industrial
New Tecumseth - Alliston,,Operator,1,10 Wellington St E.,Alliston,ON,L9R 1A1,Canada,Commercial/Industrial
Niagara College,8/30/2016,Delta,1,100 Niagara College Boulevard,Welland,ON,L3C 7L3,Canada,Commercial/Industrial
Niagara College,8/30/2016,Operator,1,100 Niagara College Boulevard,Welland,ON,L3C 7L3,Canada,Commercial/Industrial
Fort McMurray - Delta,,Delta,1,100 Snow Bird Way,Fort McMurray,AB,T9H 0G3,Canada,Aviation
PATCO Center Tower Gate (2014),,FSXT,1,1000 Carlton Avenue,Lindenwold,NJ,8021,USA,Public Transportation
MBLL Tender,11/4/2019,PDXT,2,1000 king edward,Winnipeg,MB,R2H0R2,Canada,Commercial/Industrial
MBLL Tender,11/4/2019,Access CONrol Accessories,2,1000 king edward,Winnipeg,MB,R2H0R2,Canada,Commercial/Industrial
MBLL Tender,11/4/2019,Access CONrol Accessories,2,1000 king edward,Winnipeg,MB,R2H0R2,Canada,Commercial/Industrial
MBLL Tender,11/4/2019,Double Wire Welded Wire,1,1000 king edward,Winnipeg,MB,R2H0R2,Canada,Commercial/Industrial
MBLL Tender,11/4/2019,Fold Hardware,2,1000 king edward,Winnipeg,MB,R2H0R2,Canada,Commercial/Industrial
MBLL Tender,11/4/2019,,4,1000 king edward,Winnipeg,MB,R2H0R2,Canada,Commercial/Industrial
MBLL Tender,11/4/2019,Operator Parts,8,1000 king edward,Winnipeg,MB,R2H0R2,Canada,Commercial/Industrial
MBLL Tender,11/4/2019,Operator Parts,8,1000 king edward,Winnipeg,MB,R2H0R2,Canada,Commercial/Industrial
MBLL Tender,11/4/2019,Fold Hardware,20,1000 king edward,Winnipeg,MB,R2H0R2,Canada,Commercial/Industrial
MBLL Tender,11/4/2019,Operator Parts,4,1000 king edward,Winnipeg,MB,R2H0R2,Canada,Commercial/Industrial
MBLL Tender,11/4/2019,PDXT,2,1000 king edward,Winnipeg,MB,R2H0R2,Canada,Commercial/Industrial
MBLL Tender,11/4/2019,Access CONrol Accessories,4,1000 king edward,Winnipeg,MB,R2H0R2,Canada,Commercial/Industrial
MBLL Tender,11/4/2019,Access CONrol Accessories,4,1000 king edward,Winnipeg,MB,R2H0R2,Canada,Commercial/Industrial
MBLL Tender,11/4/2019,Fold Hardware,4,1000 king edward,Winnipeg,MB,R2H0R2,Canada,Commercial/Industrial
MBLL Tender,11/4/2019,Fold Hardware,4,1000 king edward,Winnipeg,MB,R2H0R2,Canada,Commercial/Industrial
MBLL Tender,11/4/2019,Fold Hardware,8,1000 king edward,Winnipeg,MB,R2H0R2,Canada,Commercial/Industrial
MBLL Tender,11/4/2019,Fold Hardware,20,1000 king edward,Winnipeg,MB,R2H0R2,Canada,Commercial/Industrial
Lucerne Foods - Winnipeg,,Alpha,1,1000 King Edward St,Winnipeg,MB,R3H 0R2,Canada,Commercial/Industrial
Harmac Pacific - New Delta,12/29/2017,Heras Hardware,1,"1000 Wave Pl,",Nanaimo,BC,V9X 1J2,Canada,Commercial/Industrial
Harmac Pacific - New Delta,12/29/2017,Delta,1,"1000 Wave Pl,",Nanaimo,BC,V9X 1J2,Canada,Commercial/Industrial
Harmac Pacific - New Delta,12/29/2017,Operator,1,"1000 Wave Pl,",Nanaimo,BC,V9X 1J2,Canada,Commercial/Industrial
Canada - Nanaimo Forest Products,,Delta,2,1000 Wave Place,Nanaimo,BC,V9X 1J2,Canada,Commercial/Industrial
"P.S - North York , Arrow Road",,Delta,1,1001 Arrow Road,North York,ON,M9M 2Z5,Canada,Storage Facility
Bison Transport WPG,10/18/2019,Fold Hardware,2,1001 Sherwin Rd,Winnipeg,MB,R3H0T8,Canada,Trucking
Bison Transport WPG,10/18/2019,FSXT,2,1001 Sherwin Rd,Winnipeg,MB,R3H0T8,Canada,Trucking
Bison Transport WPG,10/18/2019,Fold Hardware,4,1001 Sherwin Rd,Winnipeg,MB,R3H0T8,Canada,Trucking
Bison Transport WPG,10/18/2019,FSXT,2,1001 Sherwin Rd,Winnipeg,MB,R3H0T8,Canada,Trucking
Bison Transport- Winnipeg,,Alpha,1,1001 Sherwin Road,Winnipeg,MB,R3H 0T8,Canada,Commercial/Industrial
GoTransit - Oshawa (2012),8/24/2012,PDXT,2,1002 Thornton rd,Oshawa,ON,L1J 7E2,Canada,Public Transportation
TransAll - Saskatoon (2013),10/25/2013,FSXT,1,100-2420 11th St W,Saskatoon,SK,S7M 1J6,Canada,Trucking
Astra Zeneca - Mississauga,,Delta,2,1004 Middlegate Road,Mississauga,ON,L4Y 1M4,Canada,Commercial/Industrial
Enbridge - Markham,,Alpha,2,101 Honda Blvd,Markham,ON,L6C 0M6,Canada,PetroChemical
MNR Geraldton,,Alpha,1,101 MacOdrum Drive,Geraldton,ON,P0T 1M0,Canada,Government Facilities
MNR Geraldton,,Operator,1,101 MacOdrum Drive,Geraldton,ON,P0T 1M0,Canada,Government Facilities
Chicago ICE,,PDTT,1,101 West Congress Parkway,Chicago,IL,60605,USA,Criminal Justice
Chicago ICE,,PDTT,1,101 West Congress Parkway,Chicago,IL,60605,USA,Criminal Justice
"National Microbiology Laboratories, Winnipeg",10/17/2017,FSXT,1,1015 Arlington St,Winnipeg,MB,R3E 3R2.,Canada,Government Facilities
Van Kam - Surrey (2012),,PDTT,2,10155 Grace Rd,Surrey,BC,3V3 3V7,Canada,Trucking
Quik X BC - Surrey (2008),,PDTT,2,10239 Grace Rd,Surrey,BC,V3V 3V7,Canada,Trucking
"Telus, Kamloops",7/30/2013,Delta,1,1025 Richardo,Kamloops,BC,V2H 1G8,Canada,Data Center
"Telus, Kamloops",7/30/2013,Delta,1,1025 Richardo,Kamloops,BC,V2H 1G8,Canada,Data Center
Safe Storage - Brampton,,Delta,1,10370 HurON Street,Brampton,ON,L7A 0E4,Canada,Storage Facility
Bledsoe County Corrections 2009,,PDTT,1,"1045 Horsehead Ln,TN",Pikeville,TN,37367,USA,Criminal Justice
Duraguard - Deltas,,Delta,2,10624 214 St NW,EdmONon,AB,T5S 2A1,Canada,Commercial/Industrial
Duraguard - Deltas,,Operator,2,10624 214 St NW,EdmONon,AB,T5S 2A1,Canada,Commercial/Industrial
Duraguard - Deltas,,Heras Hardware,2,10624 214 St NW,EdmONon,AB,T5S 2A1,Canada,Commercial/Industrial
Enbridge Sarnia,7/7/2017,FSXT,1,"1086 Modeland Road, Bldg. 1050, First Floor",Sarnia,ON,N7S 6L2,Canada,PetroChemical
Enbridge Sarnia,7/7/2017,FSXT,1,"1086 Modeland Road, Bldg. 1050, First Floor",Sarnia,ON,N7S 6L2,Canada,PetroChemical
US Border Patrol - Wellton (2011),,PDTT,4,10888 S 31 E,Wellton,AZ,85356,USA,Criminal Justice
Epcor-Gold Bar,9/10/2018,Operator Parts,2,"10977 50 St NW,","EdmONon,",AB,T6A 2E9,Canada,WWTP
Epcor-Gold Bar,9/10/2018,Heras Hardware,1,"10977 50 St NW,","EdmONon,",AB,T6A 2E9,Canada,WWTP
Epcor-Gold Bar,9/10/2018,Heras Hardware,1,"10977 50 St NW,","EdmONon,",AB,T6A 2E9,Canada,WWTP
Epcor-Gold Bar,9/10/2018,Heras Hardware,1,"10977 50 St NW,","EdmONon,",AB,T6A 2E9,Canada,WWTP
Epcor-Gold Bar,9/10/2018,Alpha,1,"10977 50 St NW,","EdmONon,",AB,T6A 2E9,Canada,WWTP
Epcor-Gold Bar,9/10/2018,Operator,1,"10977 50 St NW,","EdmONon,",AB,T6A 2E9,Canada,WWTP
Maritime ON- Moncton Facility (2015),10/29/2015,FSXT,4,11 Bill Slater Drive,Moncton,NB,E1G 4K4,Canada,Trucking
ON PD - 14 Div (2011),,PDXT,1,11 St Annes Rd,ON,ON,L0R 1E0,Canada,Police
MB Hydro - Churchill,,Delta,1,110?B James St. PO Box 460,Churchill,MB,R0B 0E0,Canada,Water/Hydro Plant
Myrtle Beach - 2009,,PDXT,1,1100 Jetport Rd,Myrtle Beach,SC,29577,USA,Aviation
Naval Air Station - Alphas,,Alpha,6,11001 D St,Corpus Christi,TX,78418,USA,Military/Navy
Canada Post - Calgary (2010),,PDXT,2,1100-49th AVE NE,Calgary,AB,T2E 9A9,Canada,Government Facilities
Krause-Welded Wire,,Fence Hardware,20,1103 Pacific Dr,Winnipeg,MB,,Canada,Commercial/Industrial
Krause-Welded Wire,,Double Wire Welded Wire,11,1103 Pacific Dr,Winnipeg,MB,,Canada,Commercial/Industrial
Krause-Welded Wire,,Fence Hardware,100,1103 Pacific Dr,Winnipeg,MB,,Canada,Commercial/Industrial
"P.S - Vancouver, Commercial Dr",,Delta,1,111 Commercial Dr,Vancouver,BC,V5L 0A3,Canada,Storage Facility
Houston Port (2007),,PDXT,11,111 E. Loop North,Houston,TX,77029,USA,Sea Port
Houston Port (2007),,PDXT,1,111 E. Loop North,Houston,TX,77029,USA,Sea Port
Encana 10-29,,Alpha,1,11122-255th Street,Acheson,AB,T7X 6C9,Canada,PetroChemical
Encana 10-29,,Operator,1,11122-255th Street,Acheson,AB,T7X 6C9,Canada,PetroChemical
Encana- May 2017,5/26/2017,Alpha,2,11122-255th Street,Acheson,AB,T7X 6C9,Canada,PetroChemical
Encana- May 2017,5/26/2017,Operator,2,11122-255th Street,Acheson,AB,T7X 6C9,Canada,PetroChemical
EdmONon Institute for Women,,Delta,3,"11151 178 St NW,",EdmONon,AB,T5S 2R9,Canada,Prison/Jail
Houston Police - Fondren (2011),,PDXT,2,11168 Fondren Rd,Houston,TX,77096,USA,Police
Houston Police - Fondren (2011),,PDXT,2,11168 Fondren Rd,Houston,TX,77096,USA,Police
Public Storage-Jacksonport,10/9/2017,FSXT,1,11278 36th st NE,Calgary,AB,T3N 1L3,Canada,Storage Facility
Morehead City Port Interchange,8/23/2013,FSXT,1,113 Arendell Street,Morehead,NC,28557,USA,Sea Port
Morehead City Port Interchange,8/23/2013,FSXT,1,113 Arendell Street,Morehead,NC,28557,USA,Sea Port
Morehead City Port Interchange,8/23/2013,FSXT,1,113 Arendell Street,Morehead,NC,28557,USA,Sea Port
Pine Prairie,,PDTT,1,"1133 Hampton Dupre Rd,",Pine Prairie,LA,70576,USA,Criminal Justice
Advanced Storage - Maple Meadows,,FSXT,1,113B Avenue,Maple Ridge,BC,V2X 0Y9,Canada,Storage Facility
Advanced Storage - Maple Meadows,,Delta,1,113B Avenue,Maple Ridge,BC,V2X 0Y9,Canada,Storage Facility
"B Street Pier, Cruise Ship terminal Security Enhancements",3/23/2018,Fold Hardware,1,1140 N Harbor Dr,San Diego,CA,92101,USA,Sea Port
"B Street Pier, Cruise Ship terminal Security Enhancements",3/23/2018,PDXT,1,1140 N Harbor Dr,San Diego,CA,92101,USA,Sea Port
"B Street Pier, Cruise Ship terminal Security Enhancements",3/23/2018,Fold Hardware,1,1140 N Harbor Dr,San Diego,CA,92101,USA,Sea Port
Simore Transport,,Alpha,1,1141 Burlington Street East,Hamilton,ON,L8L 0A5,Canada,Trucking
Day & Ross - Surrey,4/1/2016,FSXT,2,11470 131 Street,Surrey,BC,V3R 4S7,Canada,Trucking
BC Hydro - Kamloops,,Delta,1,1155 McGill Road,Kamloops,BC,V2C 5L1,Canada,Water/Hydro Plant
BC Hydro - Kamloops,,PDXT,1,1155 McGill Road,Kamloops,BC,V2C 5L1,Canada,Water/Hydro Plant
A and H petroleum,1/25/2018,Heras Hardware,1,1160 Sanford St,Winnipeg,MB,,Canada,Commercial/Industrial
A and H petroleum,1/25/2018,Heras Hardware,1,1160 Sanford St,Winnipeg,MB,,Canada,Commercial/Industrial
A and H petroleum,1/25/2018,Heras Hardware,1,1160 Sanford St,Winnipeg,MB,,Canada,Commercial/Industrial
A and H petroleum,1/25/2018,Delta,1,1160 Sanford St,Winnipeg,MB,,Canada,Commercial/Industrial
A and H petroleum,1/25/2018,Operator,1,1160 Sanford St,Winnipeg,MB,,Canada,Commercial/Industrial
Nav Canada - Mirabel,6/30/2017,FSXT,1,11655 Rue Service A-3,Mirabel,QC,J7N 1E7,Canada,Aviation
Miramar Police Station,,PDXT,4,11735 City Hall Promenade,Hollywood,FL,33025,USA,Police
Sub-Terrain facility,3/14/2017,Alpha,1,11761 Highway 48,Whitechurch-Stouffville,ON,L4A 7X5,Canada,Commercial/Industrial
Sub-Terrain facility,3/14/2017,Operator,1,11761 Highway 48,Whitechurch-Stouffville,ON,L4A 7X5,Canada,Commercial/Industrial
Sub-Terrain facility,3/14/2017,Heras Hardware,1,11761 Highway 48,Whitechurch-Stouffville,ON,L4A 7X5,Canada,Commercial/Industrial
Burlington Mini Storage - Delta,,Delta,1,1197 PLAINS ROAD EAST,Burlington,ON,L7S 2K2,Canada,Storage Facility
"FedEx Freight - Butte, MT",,PDXT,2,119771 Rick Jones Way,Butte,MT,59750,USA,Trucking
Zoom - Brampton 2015,,Delta,1,120 Clark Boulevard,Brampton,ON,L6T 4Y8,Canada,Storage Facility
NAV Canada - Oshawa Executive Airport,11/29/2016,Delta,1,"1200 Airport Blvd,",Oshawa,ON,L1J 8P5,Canada,Aviation
BC Hydro - Revelstoke,,PDXT,1,1200 Powerhouse Road,Revelstoke,BC,V0E 2S0,Canada,Water/Hydro Plant
Trappers Transport - Winnipeg (2011),6/10/2011,PDXT,1,1200 Redonda St,Springfield,MB, R2C 5L1,Canada,Trucking
CA1,3/4/2020,Fold Hardware,1,1200 Striker Avenue,Sacramento,CA,95834,USA,Data Center
CA1,3/4/2020,PDXT,1,1200 Striker Avenue,Sacramento,CA,95834,USA,Data Center
CA1,3/4/2020,Fold Hardware,1,1200 Striker Avenue,Sacramento,CA,95834,USA,Data Center
CA1,3/4/2020,Fold Hardware,1,1200 Striker Avenue,Sacramento,CA,95834,USA,Data Center
Reston Police Station,,PDXT,4,12000 Bowman Towne Drive,Reston,VA,20190,USA,Police
Encana 1,,Alpha,1,12002 97 Avenue,Grande Prairie,AB,T8W 0J7,Canada,PetroChemical
Dallas County Detention Center (2008),,PDTT,1,121 West Commerce St,Dallas,TX,75202,USA,Criminal Justice
Advanced Storage - Richmond,,FSXT,1,12100 Riverside Way,Richmond,BC,V6W 1K5,Canada,Storage Facility
Advanced Storage - Richmond,,FSXT,1,12100 Riverside Way,Richmond,BC,V6W 1K5,Canada,Storage Facility
Canada Post - EdmONon,,PDXT,2,12135-149th St NW,EdmONon,AB,T5L 5H2,Canada,Government Facilities
Green Storage - Newmarket,4/13/2017,FSXT,1,122 Bales Drive East,Newmarket,ON,L3Y 4X1,Canada,Storage Facility
Green Storage - Newmarket,4/13/2017,Delta,1,122 Bales Drive East,Newmarket,ON,L3Y 4X1,Canada,Storage Facility
Questar Tooele,,Alpha,1,122 E 1000 N,Tooele,UT,84074,USA,Commercial/Industrial
Questar Tooele,,Operator,1,122 E 1000 N,Tooele,UT,84074,USA,Commercial/Industrial
Questar Tooele,,Heras Hardware,1,122 E 1000 N,Tooele,UT,84074,USA,Commercial/Industrial
City of Winnipeg - Pacific Ave Yard,,,1,1220 Pacfic Ave,Winnipeg,MB,,Canada,Commercial/Industrial
Naval Base,,PDXT,2,1220 Pacific Highway,San Diego,CA,92132,USA,Military/Navy
CPC - Burlington,7/19/2021,Operator Parts,4,"1221 Heritage Road,",Burlington,ON,L7L 4Y1,Canada,Government Facilities
CPC - Burlington,7/19/2021,Heras Hardware,4,"1221 Heritage Road,",Burlington,ON,L7L 4Y1,Canada,Government Facilities
CPC - Burlington,7/19/2021,Heras Hardware,4,"1221 Heritage Road,",Burlington,ON,L7L 4Y1,Canada,Government Facilities
CPC - Burlington,7/19/2021,Heras Hardware,4,"1221 Heritage Road,",Burlington,ON,L7L 4Y1,Canada,Government Facilities
CPC - Burlington,7/19/2021,Delta,4,"1221 Heritage Road,",Burlington,ON,L7L 4Y1,Canada,Government Facilities
CPC - Burlington,7/19/2021,Operator,4,"1221 Heritage Road,",Burlington,ON,L7L 4Y1,Canada,Government Facilities
La Broquerie Lagoon,9/25/2017,Alpha,1,123 Rue Simard,La Broquerie,MB,R0A 0W0,Canada,WWTP
La Broquerie Lagoon,9/25/2017,Operator,1,123 Rue Simard,La Broquerie,MB,R0A 0W0,Canada,WWTP
Fair Oaks Police (2012),,PDXT,3,12300 Lee Jackson Memorial Hwy,Fairfax,VA,22030,USA,Police
Sexsmith Storage - Delta,,Delta,1,124 CaMBro Rd,Kelowna,BC,V1X 7T3,Canada,Storage Facility
Harwood Condominium,11/7/2018,FSXT,1,1245 Harwood St,Vancouver,BC,V6E 1S5,Canada,Commercial/Industrial
Brunswick Steel - Delta,,Delta,1,125 Bismark St,Winnipeg,MB,R2C 2Z2,Canada,Commercial/Industrial
UAE EMBassy Ottawa,3/6/2017,PDXT,2,125 Boteler St,Ottawa,ON,K1N 0A4,Canada,Government Facilities
P.S. Airdrie,9/23/2016,FSXT,1,125 Gateway Drive,Airdrie,AB,T4B3L7,Canada,Storage Facility
GoTransit - Willowbrook (2013),7/19/2013,PDXT,1,125 Judson St,Etobicoke,ON,M8Z1A4,Canada,Public Transportation
GoTransit - Willowbrook (2013),7/19/2013,PDXT,1,125 Judson St,Etobicoke,ON,M8Z1A4,Canada,Public Transportation
TransForce Properities - Oshawa (2015),12/16/2015,FSXT,1,1250 Thornton Road,Oshawa,ON,L1J7E2,Canada,Trucking
Beaverton Public Safety Center,2/21/2020,FSXT,1,12500 SW Allen Blvd,Beaverton,OR,97005,USA,Police
Beaverton Public Safety Center,2/21/2020,Fold Hardware,2,12500 SW Allen Blvd,Beaverton,OR,97005,USA,Police
Beaverton Public Safety Center,2/21/2020,Operator Parts,8,12500 SW Allen Blvd,Beaverton,OR,97005,USA,Police
Beaverton Public Safety Center,2/21/2020,FSXT,1,12500 SW Allen Blvd,Beaverton,OR,97005,USA,Police
Beaverton Public Safety Center,2/21/2020,Operator Parts,4,12500 SW Allen Blvd,Beaverton,OR,97005,USA,Police
Beaverton Public Safety Center,2/21/2020,Fold Hardware,2,12500 SW Allen Blvd,Beaverton,OR,97005,USA,Police
Beaverton Public Safety Center,2/21/2020,Fold Hardware,2,12500 SW Allen Blvd,Beaverton,OR,97005,USA,Police
P.S. Surrey 2018,4/27/2018,,1,"12529 80 Ave,",Surrey,BC,V3W 3A4,Canada,Storage Facility
P.S. Surrey 2018,4/27/2018,Delta,1,"12529 80 Ave,",Surrey,BC,V3W 3A4,Canada,Storage Facility
NAV Canada - Waterloo Tower,,Delta,1,125A Waterloo Street,Waterloo,ON,N2J 1Y3,Canada,Aviation
NAV Canada - Waterloo Tower,,Operator,1,125A Waterloo Street,Waterloo,ON,N2J 1Y3,Canada,Aviation
GO Transit - Kitchener,10/27/2017,PDXT,3,126 Weber St W,Kitchener,ON,N2H 3Z9,Canada,Public Transportation
Central Prison DOC (2010),,PDTT,2,1300 Wester Blvd,Raleigh,NC,27606,USA,Criminal Justice
Manitoulin - EdmONon (2010),9/24/2010,PDXT,1,13008 163 St NW,EdmONon,AB,T5V 1L6,Canada,Trucking
Go Transit Lincolnville (2013),,FSXT,1,13190 York Durham Line,Stouffville,ON,L4A 7X4,Canada,Public Transportation
Go Transit Lincolnville (2013),,Delta,1,13190 York Durham Line,Stouffville,ON,L4A 7X4,Canada,Public Transportation
Barrie Transit,,Delta,2,133 Welham Road,Barrie,ON,L4N 8Y3,Canada,Public Transportation
Dofasco - Gate 11,8/22/2018,Access CONrol Accessories,4,1330 Burlington St E,Hamilton,ON,L8N 3J5,Canada,Commercial/Industrial
Dofasco - Gate 11,8/22/2018,Access CONrol Accessories,4,1330 Burlington St E,Hamilton,ON,L8N 3J5,Canada,Commercial/Industrial
Dofasco - Gate 11,8/22/2018,Alpha,1,1330 Burlington St E,Hamilton,ON,L8N 3J5,Canada,Commercial/Industrial
Dofasco - Gate 11,8/22/2018,,1,1330 Burlington St E,Hamilton,ON,L8N 3J5,Canada,Commercial/Industrial
Dofasco - Gate 11,8/22/2018,FSXT,1,1330 Burlington St E,Hamilton,ON,L8N 3J5,Canada,Commercial/Industrial
Dofasco - Hamilton (2007),,PDXT,2,1330 Burlington St E,Hamilton,ON,L8N 3J5,Canada,Commercial/Industrial
Gate 9 - Turnstiles,4/2/2018,,2,1330 Burlington St E,Hamilton,ON,L8N 3J5,Canada,Commercial/Industrial
Gate 9 - FSXT,4/17/2018,Access CONrol Accessories,2,"1330 Burlington St E,",Hamilton,ON,L8N 3J5,Canada,Commercial/Industrial
Gate 9 - FSXT,4/17/2018,,2,"1330 Burlington St E,",Hamilton,ON,L8N 3J5,Canada,Commercial/Industrial
Gate 9 - FSXT,4/17/2018,FSXT,2,"1330 Burlington St E,",Hamilton,ON,L8N 3J5,Canada,Commercial/Industrial
"FedEx Freight ? Richmond, VA",12/15/2017,FSXT,2,13301 Grover Ct,Chester,VA,,USA,Trucking
"FedEx Freight ? Richmond, VA",12/15/2017,FSXT,1,13301 Grover Ct,Chester,VA,,USA,Trucking
Georgetown Storage- 1 FSXT,,FSXT,1,13394 Hwy 7,Georgetown,ON,L7G 4S4,Canada,Storage Facility
Georgetown Storage - 2 FSXTs,,FSXT,1,13394 Hwy 7,Georgetown,ON,L7G 4S4,Canada,Storage Facility
Georgetown Storage - 2 FSXTs,,FSXT,1,13394 Hwy 7,Georgetown,ON,L7G 4S4,Canada,Storage Facility
ABCO - 1346/65 Spruce,,Alpha,2,"1346 and 1365 Spruce St,","Winnipeg,",MB,R3E 2V7,Canada,Commercial/Industrial
AVIS - Winnipeg,,Delta,1,"1350 King Edward St,",Winnipeg,MB,R3H 0R5,Canada,Commercial/Industrial
Access Storage - Etibicoke,,Delta,1,137 Queens Plate Dr,Etobicoke,ON,M9W 6Z7,Canada,Storage Facility
Sask Power Fletchers Road,,Alpha,3,"1370 Fletcher Road,",Saskatoon,SK,S7K 3R3,Canada,Power Utility & Substation
Arlington County Offender Aid and Restoration (2008),,PDTT,2,1400 N Uhle,Arlington,VA,22201,USA,Courthouse
BC Hydro- Vernon,,PDXT,1,1401 Kalamalka Lake Road,Vernon,BC,V1T 6V4,Canada,Water/Hydro Plant
Port of Oshawa - Cement distribution facility,,Alpha,2,1425 Farewell Street,Oshawa,ON,L1H6N8,Canada,Sea Port
